Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese

lootTooltipTouched,UI,Use Prompt,,,{0} Search {1} ,,"{0} Durchsuche {1}","{0} Buscar {1}","{0} Fouiller {1}","{0} esamina {1}","{0}が{1}を調べる","{0} {1} 수색","{0} Przeszukaj: {1}","{0} Buscar {1}","{0}: обыскать ({1})","{0} Ara: {1}","{0}搜索{1}","{0}搜索{1}"

questBlockActivate,UI,Use Prompt,,,Press {{0}} to Activate: {1},,"Drücke {{0}} zum Aktivieren von: {1}","Pulsa {{0}} para Activar: {1}","Appuyer sur {{0}} pour activer : {1}","Premi {{0}} per attivare: {1}","{{0}} を押して作動させる： {1}","{{0}}을(를) 눌러 활성화: {1}","Przyciśnij {{0}}, aby aktywować: {1}","Aperte {{0}} para ativar: {1}","Нажмите {{0}}, чтобы задействовать: {1}","{{0}} tuşuna basarak Etkinleştir: {1}","按 {{0}} 激活： {1}","按 {{0}} 激活{1}"

questRallyActivate,UI,Use Prompt,,,Press {{0}} to Start Quest: [FF9018]{1}[-],,"Drücke {{0}} zum Starten der Quest: [FF9018]{1}[-]","Pulsar {{0}} para Iniciar misión: [FF9018]{1}[-]","Appuyer sur {{0}} pour lancer la quête : [FF9018]{1}[-]","Premi {{0}} per iniziare missione: [FF9018]{1}[-]","{{0}} を押してクエストを開始： [FF9018]{1}[-]","{{0}}을(를) 눌러 퀘스트 시작: [FF9018]{1}[-]","Przyciśnij {{0}}, aby rozpocząć zadanie: [FF9018]{1}[-]","Aperte {{0}} para iniciar a missão: [FF9018]{1}[-]","Нажмите {{0}}, чтобы начать задание: [FF9018]{1}[-]","{{0}} tuşuna basarak Görevi Başlat: [FF9018]{1}[-]","按 {{0}} 开始任务： [FF9018]{1}[-]","按 {{0}} 激活任務：[FF9018]{1}[-]"

tooltipInteract,UI,Use Prompt,,,Hold {0} to interact with {1},,"Halte {0} gedrückt, um mit {1} zu interagieren","Mantén presionado {0} para interactuar con {1}","Maintenir {0} pour interagir avec {1}","Tieni premuto {0} per interagire con {1}","{0}を長押しして、{1}を操作する","{0}을(를) 꾹 눌러 {1}과(와) 상호작용","Przytrzymaj {0}, aby wejść w interakcję z: {1}","Segure {0} para interagir com {1}","{1}: Для взаимодействия удерживайте {0}","{1} ile etkileşim kurmak için {0} tuşunu basılı tut","按住{0}与{1}互动","長按 {0} 與{1}互動"

vendingMachineActivate,UI,Use Prompt,,,{0} to interact with {1},,"Drücke {0}, um mit {1} zu interagieren","{0} para interactuar con {1}","{0} pour interagir avec {1}","{0} per interagire con {1}","{0}で{1}を操作する","{0}(으)로 {1}과(와) 상호작용","{0}, aby wejść w interakcję z: {1}","Aperte {0} para interagir com {1}","{1}: {0} для взаимодействия","{1} ile etkileşim kurmak için {0}","{0}与{1}互动","{0} 與{1}互動"

tooltipJammed,UI,Menu,,,{0} Use {1} ([AF1E19]Jammed[-]),,"{0} Verwende {1} ([AF1E19]Blockiert[-])","{0} Usa {1} ([AF1E19]Atascado[-])","{0} pour utiliser {1} ([AF1E19]coincé(e)[-])","{0} Usa {1} ([AF1E19]Inceppato[-])","{0} {1} を使用 ([AF1E19]固定[-])","{0} {1} 사용 ([AF1E19]혼잡[-])","{0} Użyj {1} ([AF1E19]zacięte[-])","{0} Usa {1} ([AF1E19]Emperrado[-])","{0} Использовать {1} ([AF1E19]заклинило[-])","{0} {1} Kullan ([AF1E19]Sıkışmış[-])","{0}使用{1} （[AF1E19]挤满[-]）","{0}用法{1}（[AF1E19]已堵塞[-])"

tooltipLocked,UI,Menu,,,{0} Use {1} ([AF1E19]Locked[-]),,"{0} Verwende {1} ([AF1E19]Verschlossen[-])","{0} Usa {1} ([AF1E19]Bloqueado[-])","{0} pour utiliser {1} ([AF1E19]verrouillé(e)[-])","{0} Usa {1} ([AF1E19]Bloccato[-])","{0} {1} を使用 ([AF1E19]施錠済み[-])","{0} {1} 사용 ([AF1E19]잠김[-])","{0} Użyj {1} ([AF1E19]zablokowane[-])","{0} Usa {1} ([AF1E19]Trancado[-])","{0} Использовать {1} ([AF1E19]заперто[-])","{0} {1} Kullan ([AF1E19]Kilitli[-])","{0} 使用{1}（[AF1E19]锁定[-]）","{0}用法{1}（[AF1E19]已鎖定[-])"

tooltipUnlocked,UI,Menu,,,{0} Use {1} ([3F8117]Unlocked[-]),,"{0} Verwende {1} ([3F8117]Entriegelt[-])","{0} Usa {1} ([3F8117]Desbloqueado[-])","{0} pour utiliser {1} ([3F8117]déverrouillé(e)[-])","{0} Usa {1} ([3F8117]Sbloccato[-])","{0} {1} を使用 ([3F8117]解錠済み[-])","{0} {1} 사용 ([3F8117]열림[-])","{0} Użyj {1} ([3F8117]odblokowane[-])","{0} Usa {1} ([3F8117]Destrancado[-])","{0} Использовать {1} ([3F8117]открыто[-])","{0} {1} Kullan ([3F8117]Kilidi Açık[-])","{0}使用{1} （[3F8117]已解锁[-]）","{0}用法{1}（[3F8117]已解鎖[-])"

quest_buried_supplies_response,UI,,,, "Buried Supplies ([DECEA3]{treasure.distance} {treasure.direction}[-])", , "Vergrabene Vorräte ([DECEA3]{treasure.distance} {treasure.direction}[-])", "Suministros enterrados ([DECEA3]{treasure.distance} {treasure.direction}[-])", "Provision enterrées ([DECEA3]{treasure.distance} {treasure.direction}[-])", "Buried Supplies ([DECEA3]{treasure.distance} {treasure.direction}[-])", "埋められた物資 ([DECEA3]{treasure.distance} {treasure.direction}[-])", "땅에 묻힌 보급품 ([DECEA3]{treasure.distance} {treasure.direction}[-])", "Zakopane zapasy ([DECEA3]{treasure.distance} {treasure.direction}[-])", "Suprimentos enterrados ([DECEA3]{treasure.distance} {treasure.direction}[-])", "Закопанные припасы ([DECEA3]{treasure.distance} {treasure.direction}[-])", "Gömülü Malzemeler ([DECEA3]{treasure.distance} {treasure.direction}[-])", "埋藏的补给 ([DECEA3]{treasure.distance} {treasure.direction}[-])", "埋藏的物品 ([DECEA3]{treasure.distance} {treasure.direction}[-])"

quest_clear_response,UI,,,, "[EFE573]Clear[-] — {poi.name} ([DECEA3]{poi.distance} {poi.direction}[-])", ,"[EFE573]Beseitige Zombies[-] — {poi.name} ([DECEA3]{poi.distance} {poi.direction}[-])","[EFE573]Elimina a los zombis[-] — {poi.name} ([DECEA3]{poi.distance} {poi.direction}[-])", "[EFE573]Elimination de zombies[-] — {poi.name} ([DECEA3]{poi.distance} {poi.direction}[-])", "[EFE573]Clear[-] — {poi.name} ([DECEA3]{poi.distance} {poi.direction}[-])", "[EFE573]ゾンビを一掃する[-] — {poi.name} ([DECEA3]{poi.distance} {poi.direction}[-])", "[EFE573]좀비 해치우기[-] — {poi.name} ([DECEA3]{poi.distance} {poi.direction}[-])", "[EFE573]Pozbądź się zombie[-] — {poi.name} ([DECEA3]{poi.distance} {poi.direction}[-])", "[EFE573]Mate os zumbis[-] — {poi.name} ([DECEA3]{poi.distance} {poi.direction}[-])", "[EFE573]Зачистка[-] — {poi.name} ([DECEA3]{poi.distance} {poi.direction}[-])", "[EFE573]Zombileri Temizle[-] — {poi.name} ([DECEA3]{poi.distance} {poi.direction}[-])", "[EFE573]清理丧尸[-] — {poi.name} ([DECEA3]{poi.distance} {poi.direction}[-])", "[EFE573]消滅殭屍[-] — {poi.name} ([DECEA3]{poi.distance} {poi.direction}[-])"

quest_fetch_clear_response,UI,,,,"[EFE573]Clear+Fetch[-] — {poi.name} ([DECEA3]{poi.distance} {poi.direction}[-])", ,"[EFE573]Abholen/Säubern[-] — {poi.name} ([DECEA3]{poi.distance} {poi.direction}[-])","[EFE573]Busca/limpia[-] — {poi.name} ([DECEA3]{poi.distance} {poi.direction}[-])", "[EFE573]Recupération/Elimination[-] — {poi.name} ([DECEA3]{poi.distance} {poi.direction}[-])","[EFE573]Clear+Fetch[-] — {poi.name} ([DECEA3]{poi.distance} {poi.direction}[-])","[EFE573]回収 / 一掃[-] — {poi.name} ([DECEA3]{poi.distance} {poi.direction}[-])","[EFE573]가지고 오기 / 소탕하기[-] — {poi.name} ([DECEA3]{poi.distance} {poi.direction}[-])","[EFE573]Transport / eliminacja[-] — {poi.name} ([DECEA3]{poi.distance} {poi.direction}[-])","[EFE573]Buscar / Limpar[-] — {poi.name} ([DECEA3]{poi.distance} {poi.direction}[-])","[EFE573]Зачистить и принести[-] — {poi.name} ([DECEA3]{poi.distance} {poi.direction}[-])","[EFE573]Getirme / Temizleme[-] — {poi.name} ([DECEA3]{poi.distance} {poi.direction}[-])","[EFE573]获取/清理[-] — {poi.name} ([DECEA3]{poi.distance} {poi.direction}[-])","[EFE573]取回 / 消滅[-] — {poi.name} ([DECEA3]{poi.distance} {poi.direction}[-])"

quest_fetch_response,UI,,,, "Fetch — {poi.name} ([DECEA3]{poi.distance} {poi.direction}[-])", ,"Abholen — {poi.name} ([DECEA3]{poi.distance} {poi.direction}[-])","Busca — {poi.name} ([DECEA3]{poi.distance} {poi.direction}[-])", "Récupération — {poi.name} ([DECEA3]{poi.distance} {poi.direction}[-])", "Fetch — {poi.name} ([DECEA3]{poi.distance} {poi.direction}[-])", "回収 — {poi.name} ([DECEA3]{poi.distance} {poi.direction}[-])", "가지고 오기 — {poi.name} ([DECEA3]{poi.distance} {poi.direction}[-])", "Transport — {poi.name} ([DECEA3]{poi.distance} {poi.direction}[-])", "Buscar — {poi.name} ([DECEA3]{poi.distance} {poi.direction}[-])", "Принести — {poi.name} ([DECEA3]{poi.distance} {poi.direction}[-])", "Getirme — {poi.name} ([DECEA3]{poi.distance} {poi.direction}[-])", "获取 — {poi.name} ([DECEA3]{poi.distance} {poi.direction}[-])", "取回 — {poi.name} ([DECEA3]{poi.distance} {poi.direction}[-])"

quest_restore_power_response,UI,,,, "[CC1111]Restore Power[-] — {poi.name} ([DECEA3]{poi.distance} {poi.direction}[-])", ,"[CC1111]Stromzufuhr wiederherstellen[-] — {poi.name} ([DECEA3]{poi.distance} {poi.direction}[-])","[CC1111]Restaura la potencia[-] — {poi.name} ([DECEA3]{poi.distance} {poi.direction}[-])", "[CC1111]Rétablir l'alimentation[-] — {poi.name} ([DECEA3]{poi.distance} {poi.direction}[-])", "[CC1111]Restore Power[-] — {poi.name} ([DECEA3]{poi.distance} {poi.direction}[-])", "[CC1111]電源復旧[-] — {poi.name} ([DECEA3]{poi.distance} {poi.direction}[-])", "[CC1111]전원 복구[-] — {poi.name} ([DECEA3]{poi.distance} {poi.direction}[-])", "[CC1111]Przywróć zasilanie[-] — {poi.name} ([DECEA3]{poi.distance} {poi.direction}[-])", "[CC1111]Restaurar energia[-] — {poi.name} ([DECEA3]{poi.distance} {poi.direction}[-])", "[CC1111]Восстановить питание[-] — {poi.name} ([DECEA3]{poi.distance} {poi.direction}[-])", "[CC1111]Enerji Sağla[-] — {poi.name} ([DECEA3]{poi.distance} {poi.direction}[-])", "[CC1111]恢复电力[-] — {poi.name} ([DECEA3]{poi.distance} {poi.direction}[-])", "[CC1111]恢復電力[-] — {poi.name} ([DECEA3]{poi.distance} {poi.direction}[-])"

quest_infestation_response,UI,,,, "[2C7F1C]Infestation[-] — {poi.name} ([DECEA3]{poi.distance} {poi.direction}[-])", ,"[2C7F1C]Befallene beseitigt[-] — {poi.name} ([DECEA3]{poi.distance} {poi.direction}[-])","[2C7F1C]Elimina la Infestación[-] — {poi.name} ([DECEA3]{poi.distance} {poi.direction}[-])", "[2C7F1C]Elimination de l'infestation[-] — {poi.name} ([DECEA3]{poi.distance} {poi.direction}[-])", "[2C7F1C]Infestation[-] — {poi.name} ([DECEA3]{poi.distance} {poi.direction}[-])", "[2C7F1C]大量発生[-] — {poi.name} ([DECEA3]{poi.distance} {poi.direction}[-])", "[2C7F1C]감염 좀비 소탕[-] — {poi.name} ([DECEA3]{poi.distance} {poi.direction}[-])", "[2C7F1C]Eksterminacja zainfekowanych[-] — {poi.name} ([DECEA3]{poi.distance} {poi.direction}[-])", "[2C7F1C]Eliminação de infestados[-] — {poi.name} ([DECEA3]{poi.distance} {poi.direction}[-])", "[2C7F1C]Заражение[-] — {poi.name} ([DECEA3]{poi.distance} {poi.direction}[-])", "[2C7F1C]Parazit Temizleme[-] — {poi.name} ([DECEA3]{poi.distance} {poi.direction}[-])", "[2C7F1C]群聚清理[-] — {poi.name} ([DECEA3]{poi.distance} {poi.direction}[-])", "[2C7F1C]清理群聚[-] — {poi.name} ([DECEA3]{poi.distance} {poi.direction}[-])"
